"y" "Ntrials" "wildfire" "logging" "lichwood" "openlich" "deciduous" "water" "wetland" "meanelev" "node_matern" "node_CAR"
1 100 3.211 11.54 0 0 3.696 38.7 1.214 419.831 1292 120
0 100 61.003 10.525 0 2.048 0 11.744 7.579 417.537 1293 121
0 100 2.61 57.546 0 0.996 0.433 3.032 4.596 431.185 1294 122
0 100 0.09 31.435 0.417 0.464 3.369 6.082 2.941 443.682 1295 123
0 100 2.315 7.628 3.701 9.653 6.544 6.537 6.418 437.575 1296 124
0 100 1.64 51.437 1.51 2.541 3.395 8.719 2.639 454.975 1297 125
0 100 0.159 59.284 0.349 0 0.213 3.17 1.876 541.273 1298 126
0 100 0 10.36 0 0 0 6.327 1.727 634.926 1299 127
0 100 0 0 0 0 0 4.867 1.929 671.635 1300 128
0 100 0.04 0 0 0 7.356 7.22 1.139 643.602 1301 129
0 100 0 0 3.006 0.974 6.118 6.942 2.428 565.473 1302 130
0 100 25.365 0 9.563 4.379 1.312 14.263 8.543 501.823 1303 131
4 100 17.168 0 9.652 5.963 2.988 11.602 6.161 529.152 1304 132
6 100 0.019 0 5.514 7.611 4.966 6.504 3.947 626.208 1305 133
0 100 0 0 1.708 0.143 1.168 7.051 3.662 698.097 1306 134
0 100 0 0 3.122 0.523 2.718 9.322 2.223 681.095 1307 135
0 100 0 0 3.889 1.119 0.242 12.383 1.845 696.77 1308 136
0 74 0 0 0 0 0.122 10.184 1.938 766.933 1309 137
0 28 79.245 0 0.71 0 0.33 6.359 3.987 515.499 1312 138
0 77 74.578 0 0.685 0.314 0.924 4.361 5.866 527.388 1313 139
0 95 71.438 0 1.187 0.095 0.232 11.026 6.275 529.367 1314 140
0 13 54.204 0 2.498 5.263 0.848 10.127 7.207 532.37 1315 141
0 28 0.229 6.476 0 0 28.399 6.163 2.206 506.246 1236 142
0 100 0 24.227 0 0 7.133 11.647 3.821 545.711 1237 143
0 100 0 13.502 0 0 2.214 19.036 5.14 557.619 1238 144
0 100 0 10.668 0 0 3.581 16.54 2.182 564.014 1239 145
0 100 8.693 15.653 0 0 11.08 20.733 1.861 459.946 1240 146
2 100 12.211 0.442 0 0 4.095 50.925 1.322 403.224 1241 147
1 100 30.475 0 0.644 4.601 10.142 22.674 2.657 411.02 1242 148
0 100 0.163 4.943 1.673 12.156 31.312 2.124 3.516 459.726 1243 149
0 100 0.435 6.359 0.524 2.211 6.433 10.77 1.222 457.229 1244 150
0 100 3.357 0 1.285 5.243 5.117 11.95 2.607 462.123 1245 151
0 100 5.941 0.983 0.506 0 12.679 8.383 1.16 493.238 1246 152
0 100 3.268 16.126 0 0 1.319 8.812 1.819 568.089 1247 153
0 100 0 0.171 0 0 0.7 8.059 2.365 615.97 1248 154
0 100 0 0 2.137 0 5.869 8.307 2.723 617.863 1249 155
0 100 0 0 1.281 0.633 13.1 7.273 3.221 587.431 1250 156
0 100 0 0 1.888 7.053 1.853 5.783 3.114 533.343 1251 157
0 100 1.45 0 9.668 18.944 0.235 6.256 6.272 540.231 1252 158
0 100 3.044 0 6.07 16.51 1.75 3.82 3.789 607.323 1253 159
2 100 0 0 0.278 1.123 3.261 10.723 2.928 706.292 1254 160
6 100 0 0 0 0 0 7.911 4.175 754.65 1255 161
0 100 0.191 0 1.186 0.154 0.276 7.505 2.773 761.028 1256 162
5 100 0 0 0.45 3.736 1.571 7.236 3.212 784.718 1257 163
0 100 0 0 0 1.221 0.865 11.108 3.071 879.06 1258 164
0 44 1.244 0 0.633 3.039 0.597 5.07 3.68 749.538 1259 165
0 78 53.646 0 0.834 3.77 1.288 4.415 1.599 513.319 1260 166
0 100 71.073 0 1.092 1.227 0.467 3.444 3.524 507.288 1261 167
0 100 63.883 0 0.287 1.157 0.33 15.091 6.512 515.366 1262 168
0 100 35.869 0 2.879 7.623 1.277 18.874 6.83 522.368 1263 169
0 53 6.492 0 9.893 23.487 1.37 15.5 4.681 545.364 1264 170
0 87 0 25.208 0 0 9.772 8.86 3.625 615.395 1186 171
0 100 0.005 7.992 0 0 8.56 12.442 2.47 565.373 1187 172
0 100 3.453 2.628 0 0 4.275 17.737 1.68 537.134 1188 173
0 100 7.383 0.222 0 0.165 10.22 17.203 1.395 529.931 1189 174
2 100 0.587 5.102 0 0.221 8.214 45.246 0.913 427.649 1190 175
1 100 0 1.146 0.084 0.137 4.847 70.473 1.001 399.843 1191 176
7 100 0.783 0 1.774 1.573 5.356 66.326 1.123 403.497 1192 177
2 100 2.53 0.074 3.9 4.035 5.69 10.781 2.965 452.385 1193 178
0 100 4.845 0 0 2.418 11.786 43.692 1.978 432.439 1194 179
0 100 7.872 0 1.037 0 6.681 10.683 3.291 478.173 1195 180
0 100 0.683 0 0 0 1.714 8.159 1.365 553.547 1196 181
0 100 0 0 0.744 0 6.019 9.993 2.65 608.648 1197 182
0 100 0 0 1.357 0 6.593 9.283 2.504 609.663 1198 183
0 100 0 0 3.403 1.342 3.702 6.077 2.002 554.384 1199 184
0 100 0 0 0 0.268 0.098 5.537 1.861 597.046 1200 185
1 100 0.704 0 0.969 4.138 0.077 4.318 3.945 633.971 1201 186
0 100 0.16 0 0.046 2.557 0 6.579 5.222 713.185 1202 187
2 100 0 0 0 0 0 9.726 3.969 730.763 1203 188
0 100 0 0 0 0 0.104 7.831 3.283 763.791 1204 189
0 100 0 0 0.79 7.87 2.591 6.397 2.195 691.487 1205 190
0 100 0.931 0 1.088 4.91 9.244 7.163 1.716 730.628 1206 191
0 100 0 0 0.108 3.788 2.976 5.603 2.741 778.639 1207 192
0 100 0.397 0 4.615 15.082 4.689 4.247 1.209 544.009 1208 193
0 100 7.869 0 3.887 14.084 3.127 8.556 1.116 608.51 1209 194
0 100 11.235 0 5.833 16.714 2.563 7.148 4.079 585.331 1210 195
1 100 22.099 0 4.826 10.069 0.667 9.768 4.006 534.335 1211 196
1 100 1.451 0 6.272 11.614 2.327 11.527 4.788 526.32 1212 197
0 93 1.216 0 6.107 3.741 8.181 7.223 2.829 512.986 1213 198
0 48 0.831 39.679 0 0 6.806 10.759 1.581 579.567 1135 199
0 100 3.068 6.737 0.244 0.074 15.778 12.544 1.765 543.154 1136 200
0 100 0.104 0.073 0.075 2.601 14.89 6.444 2.261 549.235 1137 201
0 100 0.361 0.174 0.543 1.842 14.823 11.067 1.388 512.955 1138 202
0 100 0.077 50.731 0.155 0.899 9.11 12.588 1.144 530.342 1139 203
0 100 1.72 33.187 0 0 1.789 40.653 0.603 472.83 1140 204
0 100 4.938 32.669 0 0 1.986 41.204 0.703 464.641 1141 205
0 100 2.318 0 0 4.211 6.484 38.108 0.749 436.124 1142 206
0 100 2.649 0 0.159 1.952 18.397 13.332 1.952 472.447 1143 207
0 100 11.353 0 0.805 0 2.612 11.492 2.743 474.4 1144 208
0 100 9.854 0 0 0 4.164 7.808 0.694 516.688 1145 209
0 100 0.082 0 0.358 0 2.772 12.642 3.235 524.859 1146 210
0 100 0 0 3.474 0 2.015 6.916 2.272 500.949 1147 211
0 100 0.021 0 0.74 0 0.141 7.89 1.411 524.887 1148 212
0 100 0 0 0.114 0.7 1.865 5.587 2.265 568.148 1149 213
0 100 7.258 0 0 0 1.599 6.024 1.534 634.57 1150 214
0 100 0 0 0 0 0.071 5.928 3.257 706.116 1151 215
0 100 0 0 0 0 0.298 12.799 0.802 682.876 1152 216
0 100 0 0 0.445 0 0.774 6.058 2.095 631.73 1153 217
0 100 0.554 0 3.321 2.362 2.183 4.283 3.602 656.413 1154 218
0 100 0.631 0 4.028 0.851 6.144 4.911 2.099 581.393 1155 219
0 100 0 0 2.749 1.248 8.206 6.19 2.043 525.465 1156 220
0 100 0 0 1.478 1.772 15.058 8.569 1.16 601.683 1157 221
0 100 1.389 0 1.887 3.638 1.226 14.174 1.004 591.296 1158 222
0 100 1.896 0 10.593 9.176 1.36 22.474 3.913 483.273 1159 223
1 100 0.798 0 11.758 7.409 6.513 6.527 8.882 491.649 1160 224
0 100 0.223 0 10.271 5.12 7.854 14.386 7.086 446.043 1161 225
0 98 0 0 3.235 2.591 6.813 47.104 2.857 392.877 1162 226
0 21 0.825 0 0.285 0.763 3.392 58.29 1.368 381.242 1163 227
0 10 1.131 46.523 0.421 0 5.372 8.916 1.145 559.3 1084 228
0 98 0 29.675 0.319 0.473 5.285 24.652 0.963 512.804 1085 229
0 100 0.254 0.128 2 5 7.639 14.758 0.897 551.819 1086 230
0 100 0 5.629 0.091 0.24 2.253 13.371 1.611 616.497 1087 231
0 100 3.526 25.125 0 0 5.054 11.234 1.715 558.561 1088 232
1 100 18.14 22.383 0.331 0 6.608 25.074 0.532 475.999 1089 233
2 100 31.357 6.802 0 0 1.518 41.901 0.299 459.406 1090 234
0 100 1.798 0 0.905 4.065 17.832 50.62 1.164 427.105 1091 235
0 100 1.952 0 0.853 1.749 8.786 17.269 0.767 458.648 1092 236
0 100 1.339 0 0.673 0 1.313 10.175 4.599 446.853 1093 237
1 100 2.069 0 1.426 0.174 1.969 8.068 3.652 454.543 1094 238
0 100 0.116 0 3.344 6.117 6.529 7.919 2.543 462.023 1095 239
0 100 0.021 0 9.041 1.666 3.086 7.166 5.842 475.411 1096 240
0 100 0.594 19.027 7.649 7.07 1.252 5.393 3.327 475.756 1097 241
0 100 13.435 2.823 0.509 1.293 3.553 8.302 1.061 533.309 1098 242
0 100 0 2.421 0 0 1.426 6.116 0.617 596.614 1099 243
0 100 0.144 0 1.734 2.405 0.613 4.411 1.99 560.003 1100 244
0 100 0 0 0 0 0.897 5.977 0.843 580.556 1101 245
0 100 0.213 0 4.625 0.063 0.569 4.91 1.452 627.315 1102 246
0 100 1.156 0 1.141 8.067 0.388 6.884 4.238 653.479 1103 247
0 100 15.698 0 2.685 0.03 3.836 4.488 2.453 559.402 1104 248
0 100 0.373 0 3.787 1.059 5.732 8.534 2.553 464.079 1105 249
0 100 0 0 0.393 0.096 10.942 14.889 0.396 570.968 1106 250
0 100 0 1.307 6.065 4.242 1.52 6.188 1.133 548.21 1107 251
3 100 0.635 0 11.345 8.315 4.958 5.504 4.375 538.614 1108 252
1 100 1.289 0 6.838 0.276 5.742 6.322 8.083 527.971 1109 253
0 88 0.226 0.228 2.483 0.269 10.822 38.092 2.788 404.669 1110 254
0 22 0 0 0.682 2.68 8.681 26.443 3.16 456.955 1111 255
2 68 0.044 21.671 0.264 2.273 6.217 22.305 0.757 534.499 1034 256
0 78 0.145 0 0 0.543 6.068 13.726 1.831 581.952 1035 257
0 36 0 8.47 0.7 0.421 6.077 7.78 3.314 577.638 1036 258
0 78 0.164 25.834 0 0 4.952 7.47 2.49 573.77 1037 259
0 100 0.742 2.496 0.04 0 18.072 22.11 0.813 467.498 1038 260
3 100 0.498 0 0 0.131 6.423 24.119 0.356 485.673 1039 261
1 100 0.708 0 0.286 0.131 12.035 21.443 0.67 467.905 1040 262
0 100 0 0 0.283 0.034 7.845 18.294 1.451 465.065 1041 263
0 100 0 0.042 1.772 0.35 4.088 11.377 2.297 484.118 1042 264
0 100 0 0 1.052 0.07 2.931 17.398 1.53 465.26 1043 265
0 100 0.823 0 1.61 7.217 13.475 8.552 2.957 477.805 1044 266
0 100 19.097 5.093 4.162 2.505 5.306 8.091 2.936 507.508 1045 267
0 100 2.349 31.37 2.199 2.546 3.384 5.9 2.285 514.323 1046 268
0 100 16.021 30.508 0.794 0.532 1.677 7.795 1.093 521.3 1047 269
0 100 0.069 8.057 0 0 1.873 5.486 1.321 542.25 1048 270
0 100 0.044 4.149 2.102 0.552 6.848 4.47 1.318 540.392 1049 271
0 100 0 0 3.576 2.521 2.756 5.268 1.836 502.185 1050 272
0 100 0 0 0.382 0.323 0.857 6.148 2.174 556.028 1051 273
1 100 0 0 1.963 0.697 3.61 3.256 2.23 580.35 1052 274
0 100 4.681 0 4.87 1.063 17.264 8.99 1.927 456.32 1053 275
0 100 1.317 0 9.785 1.776 5.785 10.705 1.714 442.142 1054 276
1 100 0 2.201 4.293 1.131 0.917 4.442 1.429 537.05 1055 277
1 100 0.09 1.774 4.646 1.762 2.156 4.199 1.715 585.538 1056 278
0 100 20.146 0.831 4.265 2.107 2.841 5.404 4.756 551.144 1057 279
0 96 33.599 0.155 0.588 0.001 5.018 16.344 4.73 450.779 1058 280
0 36 3.446 12.548 0.633 0 4.624 10.223 2.22 488.999 986 281
2 100 0.877 13.852 0.593 1.014 4.002 9.379 2.067 495.66 987 282
2 100 0.593 10.16 0 0 0.795 33.117 0.341 467.039 988 283
1 100 0 12.138 0.104 0 0 9.388 1.347 495.385 989 284
3 100 0 1.049 0 0 0.059 14.011 1.689 490.862 990 285
0 100 10.443 3.859 1.486 0.496 2.804 9.498 2.832 470.674 991 286
0 100 0 1.383 0 0.894 2.107 16.709 1.107 500.291 992 287
0 100 0.051 0 1.718 9.767 12.372 12.468 0.99 522.433 993 288
0 100 70.223 0.303 0.054 0.946 2.813 8.25 2.916 497.285 994 289
0 100 35.665 30.012 0 0.583 1.494 8.893 2.884 508.979 995 290
0 100 0.232 56.113 0 0.223 0.992 9.88 1.63 460.864 996 291
0 100 0 12.455 0.957 0.28 9.049 6.193 1.293 473.591 997 292
0 100 1.275 0.707 0.363 0.272 4.811 2.801 0.928 504.212 998 293
0 100 0 0 0.388 0.62 14.878 16.244 1.297 418.003 999 294
0 100 0 0 3.11 0.942 7.827 19.631 1 430.669 1000 295
0 100 0 0 6.931 3.386 7.651 17.586 2.558 409.502 1001 296
0 100 0 0 11.95 0.945 16.103 8.703 1.774 450.211 1002 297
0 100 0 0 3.735 2.344 2.646 6.321 1.31 536.431 1003 298
0 100 0 4.843 3.18 2.05 2.175 5.092 1.865 578.057 1004 299
0 100 1.242 29.619 5.501 0.4 0.347 7.501 1.978 526.686 1005 300
0 100 4.417 11.738 3.33 0.12 2.78 7.744 4.217 571.596 1006 301
0 100 2.248 0.28 2.982 1.88 4.773 36.499 1.887 440.107 1007 302
0 29 0 0 0.564 0 4.48 39.177 0.676 412.347 1008 303
1 92 0 1.83 0.137 0.806 2.657 42.734 0.542 452.372 936 304
2 100 0 18.336 0 0 2.329 17.578 0.561 512.815 937 305
0 100 0.765 54.794 0 0 0.2 7.953 1.355 487.026 938 306
1 100 0.197 7.317 0 0 0 9.129 1.426 495.923 939 307
1 100 0.129 0.207 0.236 0.893 0.48 7.382 1.883 497.965 940 308
0 100 0 29.49 1.741 1.427 1.522 4.329 1.599 485.129 941 309
0 100 0 28.753 0.575 0.652 1.876 8.125 1.765 512.361 942 310
0 100 28.122 27.537 0.832 0.061 0 6.916 3.302 503.639 943 311
